SYSTEMATIC.name	GO.id	GO.term
Q0070	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0070	GO:0005739	C:mitochondrion
Q0070	GO:0004129	F:cytochrome-c oxidase activity
Q0070	GO:0004519	F:endonuclease activity
Q0070	GO:0020037	F:heme binding
Q0070	GO:0015990	P:electron transport coupled proton transport
Q0070	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
Q0070	GO:0006316	P:movement of group I intron
Q0070	GO:0006397	P:mRNA processing
Q0070	GO:0008380	P:RNA splicing
Q0075	GO:0005739	C:mitochondrion
Q0075	GO:0004519	F:endonuclease activity
Q0075	GO:0006314	P:intron homing
Q0080	GO:0005743	C:mitochondrial inner membrane
Q0080	GO:0005753	C:mitochondrial proton-transporting ATP synthase complex
Q0080	GO:0000276	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
Q0080	GO:0005739	C:mitochondrion
Q0080	GO:0015078	F:proton transmembrane transporter activity
Q0080	GO:0015986	P:proton motive force-driven ATP synthesis
Q0085	GO:0005743	C:mitochondrial inner membrane
Q0085	GO:0005753	C:mitochondrial proton-transporting ATP synthase complex
Q0085	GO:0000276	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
Q0085	GO:0005739	C:mitochondrion
Q0085	GO:0015078	F:proton transmembrane transporter activity
Q0085	GO:0015986	P:proton motive force-driven ATP synthesis
Q0105	GO:0005743	C:mitochondrial inner membrane
Q0105	GO:0005750	C:mitochondrial respiratory chain complex III
Q0105	GO:0005739	C:mitochondrion
Q0105	GO:0046872	F:metal ion binding
Q0105	GO:0008121	F:ubiquinol-cytochrome-c reductase activity
Q0105	GO:0009060	P:aerobic respiration
Q0105	GO:0045333	P:cellular respiration
Q0105	GO:0006122	P:mitochondrial electron transport, ubiquinol to cytochrome c
Q0110	GO:0005743	C:mitochondrial inner membrane
Q0110	GO:0005739	C:mitochondrion
Q0110	GO:0009055	F:electron transfer activity
Q0110	GO:0004519	F:endonuclease activity
Q0110	GO:0004518	F:nuclease activity
Q0110	GO:0006122	P:mitochondrial electron transport, ubiquinol to cytochrome c
Q0110	GO:0006397	P:mRNA processing
Q0110	GO:1902600	P:proton transmembrane transport
Q0110	GO:0008380	P:RNA splicing
Q0115	GO:0005743	C:mitochondrial inner membrane
Q0115	GO:0005739	C:mitochondrion
Q0115	GO:0009055	F:electron transfer activity
Q0115	GO:0004519	F:endonuclease activity
Q0115	GO:0003723	F:RNA binding
Q0115	GO:0000372	P:Group I intron splicing
Q0115	GO:0006122	P:mitochondrial electron transport, ubiquinol to cytochrome c
Q0115	GO:0090615	P:mitochondrial mRNA processing
Q0115	GO:0006397	P:mRNA processing
Q0115	GO:1902600	P:proton transmembrane transport
Q0120	GO:0005739	C:mitochondrion
Q0120	GO:0004519	F:endonuclease activity
Q0120	GO:0003723	F:RNA binding
Q0120	GO:0000372	P:Group I intron splicing
Q0120	GO:0006122	P:mitochondrial electron transport, ubiquinol to cytochrome c
Q0120	GO:0090615	P:mitochondrial mRNA processing
Q0120	GO:0006397	P:mRNA processing
Q0120	GO:1902600	P:proton transmembrane transport
Q0130	GO:0005829	C:cytosol
Q0130	GO:0005743	C:mitochondrial inner membrane
Q0130	GO:0005758	C:mitochondrial intermembrane space
Q0130	GO:0005753	C:mitochondrial proton-transporting ATP synthase complex
Q0130	GO:0000276	C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
Q0130	GO:0005739	C:mitochondrion
Q0130	GO:0042802	F:identical protein binding
Q0130	GO:0008289	F:lipid binding
Q0130	GO:0015078	F:proton transmembrane transporter activity
Q0130	GO:0015986	P:proton motive force-driven ATP synthesis
Q0140	GO:0005743	C:mitochondrial inner membrane
Q0140	GO:0005761	C:mitochondrial ribosome
Q0140	GO:0005763	C:mitochondrial small ribosomal subunit
Q0140	GO:0005739	C:mitochondrion
Q0140	GO:0003735	F:structural constituent of ribosome
Q0140	GO:0032543	P:mitochondrial translation
Q0160	GO:0005739	C:mitochondrion
Q0160	GO:0004519	F:endonuclease activity
Q0160	GO:0006314	P:intron homing
Q0160	GO:0006397	P:mRNA processing
Q0160	GO:0008380	P:RNA splicing
Q0250	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0250	GO:0005739	C:mitochondrion
Q0250	GO:0005507	F:copper ion binding
Q0250	GO:0004129	F:cytochrome-c oxidase activity
Q0250	GO:0009060	P:aerobic respiration
Q0250	GO:0042773	P:ATP synthesis coupled electron transport
Q0250	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
Q0255	GO:0005739	C:mitochondrion
Q0255	GO:0004519	F:endonuclease activity
Q0275	GO:0031966	C:mitochondrial membrane
Q0275	GO:0005751	C:mitochondrial respiratory chain complex IV
Q0275	GO:0005739	C:mitochondrion
Q0275	GO:0004129	F:cytochrome-c oxidase activity
Q0275	GO:0009060	P:aerobic respiration
Q0275	GO:0045333	P:cellular respiration
Q0275	GO:0006123	P:mitochondrial electron transport, cytochrome c to oxygen
YAL001C	GO:0005739	C:mitochondrion
YAL001C	GO:0005654	C:nucleoplasm
YAL001C	GO:0005634	C:nucleus
YAL001C	GO:0000127	C:transcription factor TFIIIC complex
YAL001C	GO:0003677	F:DNA binding
YAL001C	GO:0042791	P:5S class rRNA transcription by RNA polymerase III
YAL001C	GO:0071168	P:protein localization to chromatin
YAL001C	GO:0006383	P:transcription by RNA polymerase III
YAL001C	GO:0006384	P:transcription initiation at RNA polymerase III promoter
YAL002W	GO:0033263	C:CORVET complex
YAL002W	GO:0031901	C:early endosome membrane
YAL002W	GO:0005795	C:Golgi stack
YAL002W	GO:0030897	C:HOPS complex
YAL002W	GO:0005770	C:late endosome
YAL002W	GO:0016020	C:membrane
YAL002W	GO:0051020	F:GTPase binding
YAL002W	GO:0046872	F:metal ion binding
YAL002W	GO:0043495	F:protein-membrane adaptor activity
YAL002W	GO:0034058	P:endosomal vesicle fusion
YAL002W	GO:0006886	P:intracellular protein transport
YAL002W	GO:0032511	P:late endosome to vacuole transport via multivesicular body sorting pathway
YAL002W	GO:0006623	P:protein targeting to vacuole
YAL002W	GO:0032889	P:regulation of vacuole fusion, non-autophagic
YAL002W	GO:0099022	P:vesicle tethering
YAL003W	GO:0005829	C:cytosol
YAL003W	GO:0005853	C:eukaryotic translation elongation factor 1 complex
YAL003W	GO:0005840	C:ribosome
YAL003W	GO:0005085	F:guanyl-nucleotide exchange factor activity
YAL003W	GO:0003746	F:translation elongation factor activity
YAL003W	GO:1990145	P:maintenance of translational fidelity
YAL003W	GO:0032232	P:negative regulation of actin filament bundle assembly
YAL003W	GO:0006449	P:regulation of translational termination
YAL003W	GO:0006414	P:translational elongation
YAL005C	GO:0005737	C:cytoplasm
YAL005C	GO:0005829	C:cytosol
YAL005C	GO:0005576	C:extracellular region
YAL005C	GO:0009277	C:fungal-type cell wall
YAL005C	GO:0000329	C:fungal-type vacuole membrane
YAL005C	GO:0005634	C:nucleus
YAL005C	GO:0005886	C:plasma membrane
YAL005C	GO:0017053	C:transcription repressor complex
YAL005C	GO:0005524	F:ATP binding
YAL005C	GO:0016887	F:ATP hydrolysis activity
YAL005C	GO:0140662	F:ATP-dependent protein folding chaperone
YAL005C	GO:0031072	F:heat shock protein binding
YAL005C	GO:0044183	F:protein folding chaperone
YAL005C	GO:0000049	F:tRNA binding
YAL005C	GO:0051082	F:unfolded protein binding
YAL005C	GO:0051085	P:chaperone cofactor-dependent protein refolding
YAL005C	GO:0072318	P:clathrin coat disassembly
YAL005C	GO:0002181	P:cytoplasmic translation
YAL005C	GO:0072671	P:mitochondria-associated ubiquitin-dependent protein catabolic process
YAL005C	GO:0045892	P:negative regulation of DNA-templated transcription
YAL005C	GO:0043161	P:proteasome-mediated ubiquitin-dependent protein catabolic process
YAL005C	GO:0006457	P:protein folding
YAL005C	GO:0006606	P:protein import into nucleus
YAL005C	GO:0000209	P:protein polyubiquitination
YAL005C	GO:0042026	P:protein refolding
YAL005C	GO:0006626	P:protein targeting to mitochondrion
YAL005C	GO:0070482	P:response to oxygen levels
YAL005C	GO:0006616	P:SRP-dependent cotranslational protein targeting to membrane, translocation
YAL005C	GO:0035617	P:stress granule disassembly
YAL007C	GO:0030134	C:COPII-coated ER to Golgi transport vesicle
YAL007C	GO:0005783	C:endoplasmic reticulum
YAL007C	GO:0005789	C:endoplasmic reticulum membrane
YAL007C	GO:0005793	C:endoplasmic reticulum-Golgi intermediate compartment
YAL007C	GO:0005794	C:Golgi apparatus
YAL007C	GO:0005798	C:Golgi-associated vesicle
YAL007C	GO:0006888	P:endoplasmic reticulum to Golgi vesicle-mediated transport
YAL007C	GO:0007030	P:Golgi organization
YAL007C	GO:0006886	P:intracellular protein transport
YAL007C	GO:0006621	P:protein retention in ER lumen
YAL007C	GO:0006900	P:vesicle budding from membrane
YAL008W	GO:0005741	C:mitochondrial outer membrane
YAL008W	GO:0005739	C:mitochondrion
YAL008W	GO:0007005	P:mitochondrion organization
YAL008W	GO:0055091	P:phospholipid homeostasis
YAL009W	GO:0005783	C:endoplasmic reticulum
YAL009W	GO:0005789	C:endoplasmic reticulum membrane
YAL009W	GO:0016020	C:membrane
YAL009W	GO:0071595	C:Nem1-Spo7 phosphatase complex
YAL009W	GO:0031965	C:nuclear membrane
YAL009W	GO:0019888	F:protein phosphatase regulator activity
YAL009W	GO:0006629	P:lipid metabolic process
YAL009W	GO:0071072	P:negative regulation of phospholipid biosynthetic process
YAL009W	GO:0006998	P:nuclear envelope organization
YAL009W	GO:0071071	P:regulation of phospholipid biosynthetic process
YAL009W	GO:0061709	P:reticulophagy
YAL009W	GO:0030435	P:sporulation resulting in formation of a cellular spore
YAL010C	GO:0032865	C:ERMES complex
YAL010C	GO:0005741	C:mitochondrial outer membrane
YAL010C	GO:0098799	C:outer mitochondrial membrane protein complex
YAL010C	GO:0001401	C:SAM complex
YAL010C	GO:0051654	P:establishment of mitochondrion localization
YAL010C	GO:0000002	P:mitochondrial genome maintenance
YAL010C	GO:0070096	P:mitochondrial outer membrane translocase complex assembly
YAL010C	GO:0007005	P:mitochondrion organization
YAL010C	GO:1990456	P:mitochondrion-endoplasmic reticulum membrane tethering
YAL010C	GO:0055091	P:phospholipid homeostasis
YAL010C	GO:0015914	P:phospholipid transport
YAL010C	GO:0045040	P:protein insertion into mitochondrial outer membrane
YAL011W	GO:0000785	C:chromatin
YAL011W	GO:0005739	C:mitochondrion
YAL011W	GO:0005634	C:nucleus
YAL011W	GO:0000812	C:Swr1 complex
YAL011W	GO:0140849	F:ATP-dependent H2AZ histone chaperone activity
YAL011W	GO:0006338	P:chromatin remodeling
YAL011W	GO:0007029	P:endoplasmic reticulum organization
YAL011W	GO:0006355	P:regulation of DNA-templated transcription
YAL012W	GO:0005737	C:cytoplasm
YAL012W	GO:0005634	C:nucleus
YAL012W	GO:0004123	F:cystathionine gamma-lyase activity
YAL012W	GO:0047804	F:cysteine-S-conjugate beta-lyase activity
YAL012W	GO:0080146	F:L-cysteine desulfhydrase activity
YAL012W	GO:0044540	F:L-cystine L-cysteine-lyase (deaminating)
YAL012W	GO:0030170	F:pyridoxal phosphate binding
YAL012W	GO:0019344	P:cysteine biosynthetic process
YAL012W	GO:0019343	P:cysteine biosynthetic process via cystathionine
YAL012W	GO:1904828	P:positive regulation of hydrogen sulfide biosynthetic process
YAL012W	GO:0019346	P:transsulfuration
YAL013W	GO:0005737	C:cytoplasm
YAL013W	GO:0005634	C:nucleus
YAL013W	GO:0033698	C:Rpd3L complex
YAL013W	GO:0070210	C:Rpd3L-Expanded complex
YAL013W	GO:0070822	C:Sin3-type complex
YAL013W	GO:0042826	F:histone deacetylase binding
YAL013W	GO:0061188	P:negative regulation of rDNA heterochromatin formation
YAL013W	GO:0061186	P:negative regulation of silent mating-type cassette heterochromatin formation
YAL013W	GO:0000122	P:negative regulation of transcription by RNA polymerase II
YAL013W	GO:0006334	P:nucleosome assembly
YAL013W	GO:0045944	P:positive regulation of transcription by RNA polymerase II
YAL013W	GO:0030174	P:regulation of DNA-templated DNA replication initiation
YAL013W	GO:0006357	P:regulation of transcription by RNA polymerase II
YAL014C	GO:0005829	C:cytosol
YAL014C	GO:0012505	C:endomembrane system
YAL014C	GO:0005768	C:endosome
YAL014C	GO:0010008	C:endosome membrane
YAL014C	GO:0000139	C:Golgi membrane
YAL014C	GO:0031201	C:SNARE complex
YAL014C	GO:0005484	F:SNAP receptor activity
YAL014C	GO:0000149	F:SNARE binding
YAL014C	GO:0006895	P:Golgi to endosome transport
YAL014C	GO:0006896	P:Golgi to vacuole transport
YAL014C	GO:0048210	P:Golgi vesicle fusion to target membrane
YAL014C	GO:0006886	P:intracellular protein transport
YAL014C	GO:0048278	P:vesicle docking
YAL014C	GO:0006906	P:vesicle fusion
YAL015C	GO:0005739	C:mitochondrion
YAL015C	GO:0005634	C:nucleus
YAL015C	GO:0140078	F:class I DNA-(apurinic or apyrimidinic site) endonuclease activity
YAL015C	GO:0003677	F:DNA binding
YAL015C	GO:0003906	F:DNA-(apurinic or apyrimidinic site) endonuclease activity
YAL015C	GO:0008534	F:oxidized purine nucleobase lesion DNA N-glycosylase activity
YAL015C	GO:0000703	F:oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
YAL015C	GO:0006284	P:base-excision repair
YAL015C	GO:0006285	P:base-excision repair, AP site formation
YAL015C	GO:0034599	P:cellular response to oxidative stress
YAL015C	GO:0006281	P:DNA repair
YAL015C	GO:0090297	P:positive regulation of mitochondrial DNA replication
YAL016W	GO:0005935	C:cellular bud neck
YAL016W	GO:0005934	C:cellular bud tip
YAL016W	GO:0005737	C:cytoplasm
YAL016W	GO:0043332	C:mating projection tip
YAL016W	GO:0005634	C:nucleus
YAL016W	GO:0000159	C:protein phosphatase type 2A complex
YAL016W	GO:0005816	C:spindle pole body
YAL016W	GO:0019888	F:protein phosphatase regulator activity
YAL016W	GO:0007094	P:mitotic spindle assembly checkpoint signaling
YAL016W	GO:0006417	P:regulation of translation
YAL017W	GO:0005737	C:cytoplasm
YAL017W	GO:0005829	C:cytosol
YAL017W	GO:0005634	C:nucleus
YAL017W	GO:0005524	F:ATP binding
YAL017W	GO:0004672	F:protein kinase activity
YAL017W	GO:0106310	F:protein serine kinase activity
YAL017W	GO:0004674	F:protein serine/threonine kinase activity
YAL017W	GO:0035556	P:intracellular signal transduction
YAL017W	GO:0045719	P:negative regulation of glycogen biosynthetic process
YAL017W	GO:0016310	P:phosphorylation
YAL017W	GO:0060917	P:regulation of (1->6)-beta-D-glucan biosynthetic process
YAL017W	GO:0006417	P:regulation of translation
YAL018C	GO:0005619	C:ascospore wall
YAL018C	GO:0005811	C:lipid droplet
YAL018C	GO:0005628	C:prospore membrane
YAL018C	GO:0030476	P:ascospore wall assembly
YAL019W	GO:0000775	C:chromosome, centromeric region
YAL019W	GO:0000781	C:chromosome, telomeric region
YAL019W	GO:0031934	C:mating-type region heterochromatin
YAL019W	GO:0005739	C:mitochondrion
YAL019W	GO:0005634	C:nucleus
YAL019W	GO:0005524	F:ATP binding
YAL019W	GO:0016887	F:ATP hydrolysis activity
YAL019W	GO:0008094	F:ATP-dependent activity, acting on DNA
YAL019W	GO:0140658	F:ATP-dependent chromatin remodeler activity
YAL019W	GO:0003682	F:chromatin binding
YAL019W	GO:0003677	F:DNA binding
YAL019W	GO:0004386	F:helicase activity
YAL019W	GO:0042802	F:identical protein binding
YAL019W	GO:0006338	P:chromatin remodeling
YAL019W	GO:0000729	P:DNA double-strand break processing
YAL019W	GO:0031507	P:heterochromatin formation
YAL019W	GO:0000122	P:negative regulation of transcription by RNA polymerase II
YAL019W	GO:0033120	P:positive regulation of RNA splicing
YAL019W	GO:0000183	P:rDNA heterochromatin formation
YAL019W	GO:0030466	P:silent mating-type cassette heterochromatin formation
YAL019W	GO:0031509	P:subtelomeric heterochromatin formation
YAL020C	GO:0005737	C:cytoplasm
YAL020C	GO:0061630	F:ubiquitin protein ligase activity
YAL020C	GO:0016567	P:protein ubiquitination
YAL020C	GO:0002098	P:tRNA wobble uridine modification
YAL020C	GO:0006511	P:ubiquitin-dependent protein catabolic process
YAL021C	GO:0030014	C:CCR4-NOT complex
YAL021C	GO:0030015	C:CCR4-NOT core complex
YAL021C	GO:0016593	C:Cdc73/Paf1 complex
YAL021C	GO:0005737	C:cytoplasm
YAL021C	GO:0005634	C:nucleus
YAL021C	GO:0000932	C:P-body
YAL021C	GO:0000175	F:3'-5'-RNA exonuclease activity
YAL021C	GO:0046872	F:metal ion binding
YAL021C	GO:0004535	F:poly(A)-specific ribonuclease activity
YAL021C	GO:0003723	F:RNA binding
YAL021C	GO:0006260	P:DNA replication
YAL021C	GO:0000076	P:DNA replication checkpoint signaling
YAL021C	GO:0000288	P:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
YAL021C	GO:0000289	P:nuclear-transcribed mRNA poly(A) tail shortening
YAL021C	GO:0032968	P:positive regulation of transcription elongation by RNA polymerase II
YAL021C	GO:0006357	P:regulation of transcription by RNA polymerase II
YAL021C	GO:0006368	P:transcription elongation by RNA polymerase II
YAL021C	GO:0007089	P:traversing start control point of mitotic cell cycle
YAL022C	GO:0000329	C:fungal-type vacuole membrane
YAL022C	GO:0005886	C:plasma membrane
YAL022C	GO:0034257	F:nicotinamide riboside transmembrane transporter activity
YAL022C	GO:0015205	F:nucleobase transmembrane transporter activity
YAL022C	GO:0005337	F:nucleoside transmembrane transporter activity
YAL022C	GO:0034258	P:nicotinamide riboside transport
YAL022C	GO:0015851	P:nucleobase transport
YAL022C	GO:0015858	P:nucleoside transport
YAL022C	GO:0055085	P:transmembrane transport
YAL023C	GO:0097582	C:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex
YAL023C	GO:0097584	C:dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex
YAL023C	GO:0005783	C:endoplasmic reticulum
YAL023C	GO:0005789	C:endoplasmic reticulum membrane
YAL023C	GO:0004169	F:dolichyl-phosphate-mannose-protein mannosyltransferase activity
YAL023C	GO:0071712	P:ER-associated misfolded protein catabolic process
YAL023C	GO:0009272	P:fungal-type cell wall biogenesis
YAL023C	GO:0032527	P:protein exit from endoplasmic reticulum
YAL023C	GO:0006493	P:protein O-linked glycosylation
YAL023C	GO:0035269	P:protein O-linked mannosylation
YAL023C	GO:1900101	P:regulation of endoplasmic reticulum unfolded protein response
YAL024C	GO:0005933	C:cellular bud
YAL024C	GO:0005737	C:cytoplasm
YAL024C	GO:0005886	C:plasma membrane
YAL024C	GO:0005085	F:guanyl-nucleotide exchange factor activity
YAL024C	GO:0061510	P:asymmetric protein localization to new mitotic spindle pole body
YAL024C	GO:0007049	P:cell cycle
YAL024C	GO:0051301	P:cell division
YAL024C	GO:0031536	P:positive regulation of exit from mitosis
YAL024C	GO:0007265	P:Ras protein signal transduction
YAL024C	GO:0016192	P:vesicle-mediated transport
YAL025C	GO:0005730	C:nucleolus
YAL025C	GO:0030687	C:preribosome, large subunit precursor
YAL025C	GO:0007049	P:cell cycle
YAL025C	GO:0000460	P:maturation of 5.8S rRNA
YAL025C	GO:0000466	P:maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
YAL025C	GO:0000470	P:maturation of LSU-rRNA
YAL025C	GO:0000463	P:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
YAL025C	GO:0042273	P:ribosomal large subunit biogenesis
YAL026C	GO:1990530	C:Cdc50p-Drs2p complex
YAL026C	GO:0005783	C:endoplasmic reticulum
YAL026C	GO:0010008	C:endosome membrane
YAL026C	GO:1990531	C:phospholipid-translocating ATPase complex
YAL026C	GO:0005886	C:plasma membrane
YAL026C	GO:0005802	C:trans-Golgi network
YAL026C	GO:0005524	F:ATP binding
YAL026C	GO:0016887	F:ATP hydrolysis activity
YAL026C	GO:0140326	F:ATPase-coupled intramembrane lipid transporter activity
YAL026C	GO:0000287	F:magnesium ion binding
YAL026C	GO:0140345	F:phosphatidylcholine flippase activity
YAL026C	GO:0090555	F:phosphatidylethanolamine flippase activity
YAL026C	GO:0070273	F:phosphatidylinositol-4-phosphate binding
YAL026C	GO:0140346	F:phosphatidylserine flippase activity
YAL026C	GO:0090556	F:phosphatidylserine floppase activity
YAL026C	GO:0032456	P:endocytic recycling
YAL026C	GO:0006897	P:endocytosis
YAL026C	GO:0045332	P:phospholipid translocation
YAL026C	GO:0006892	P:post-Golgi vesicle-mediated transport
YAL027W	GO:1905348	C:endonuclease complex
YAL027W	GO:0005634	C:nucleus
YAL027W	GO:0070337	F:3'-flap-structured DNA binding
YAL027W	GO:0070338	F:5'-flap-structured DNA binding
YAL027W	GO:0000736	P:double-strand break repair via single-strand annealing, removal of nonhomologous ends
YAL028W	GO:0005783	C:endoplasmic reticulum
YAL028W	GO:0005789	C:endoplasmic reticulum membrane
YAL028W	GO:0071469	P:cellular response to alkaline pH
YAL028W	GO:0071472	P:cellular response to salt stress
YAL029C	GO:0015629	C:actin cytoskeleton
YAL029C	GO:0005933	C:cellular bud
YAL029C	GO:0005934	C:cellular bud tip
YAL029C	GO:0005737	C:cytoplasm
YAL029C	GO:0031941	C:filamentous actin
YAL029C	GO:0005739	C:mitochondrion
YAL029C	GO:0031475	C:myosin V complex
YAL029C	GO:0031982	C:vesicle
YAL029C	GO:0051015	F:actin filament binding
YAL029C	GO:0005524	F:ATP binding
YAL029C	GO:0005516	F:calmodulin binding
YAL029C	GO:0000146	F:microfilament motor activity
YAL029C	GO:0007015	P:actin filament organization
YAL029C	GO:0048309	P:endoplasmic reticulum inheritance
YAL029C	GO:0008298	P:intracellular mRNA localization
YAL029C	GO:0007533	P:mating type switching
YAL029C	GO:0051028	P:mRNA transport
YAL029C	GO:0030050	P:vesicle transport along actin filament
YAL030W	GO:0071944	C:cell periphery
YAL030W	GO:0005933	C:cellular bud
YAL030W	GO:0005935	C:cellular bud neck
YAL030W	GO:0005829	C:cytosol
YAL030W	GO:0005768	C:endosome
YAL030W	GO:0010008	C:endosome membrane
YAL030W	GO:0000139	C:Golgi membrane
YAL030W	GO:0005886	C:plasma membrane
YAL030W	GO:0005628	C:prospore membrane
YAL030W	GO:0031201	C:SNARE complex
YAL030W	GO:0005802	C:trans-Golgi network
YAL030W	GO:0030658	C:transport vesicle membrane
YAL030W	GO:0060090	F:molecular adaptor activity
YAL030W	GO:0005484	F:SNAP receptor activity
YAL030W	GO:0000149	F:SNARE binding
YAL030W	GO:0019905	F:syntaxin binding
YAL030W	GO:0031321	P:ascospore-type prospore assembly
YAL030W	GO:0006897	P:endocytosis
YAL030W	GO:0006887	P:exocytosis
YAL030W	GO:0006895	P:Golgi to endosome transport
YAL030W	GO:0006893	P:Golgi to plasma membrane transport
YAL030W	GO:0048210	P:Golgi vesicle fusion to target membrane
YAL030W	GO:0006886	P:intracellular protein transport
YAL030W	GO:0042147	P:retrograde transport, endosome to Golgi
YAL030W	GO:0035493	P:SNARE complex assembly
YAL030W	GO:0043934	P:sporulation
YAL030W	GO:0006906	P:vesicle fusion
YAL030W	GO:0099500	P:vesicle fusion to plasma membrane
YAL030W	GO:0048280	P:vesicle fusion with Golgi apparatus
YAL031C	GO:0005737	C:cytoplasm
YAL031C	GO:0008157	F:protein phosphatase 1 binding
YAL031C	GO:0019888	F:protein phosphatase regulator activity
YAL031C	GO:0007059	P:chromosome segregation
YAL032C	GO:0005634	C:nucleus
YAL032C	GO:0071014	C:post-mRNA release spliceosomal complex
YAL032C	GO:0071006	C:U2-type catalytic step 1 spliceosome
YAL032C	GO:0071007	C:U2-type catalytic step 2 spliceosome
YAL032C	GO:0000350	P:generation of catalytic spliceosome for second transesterification step
YAL033W	GO:0005737	C:cytoplasm
YAL033W	GO:0005655	C:nucleolar ribonuclease P complex
YAL033W	GO:0000172	C:ribonuclease MRP complex
YAL033W	GO:0000171	F:ribonuclease MRP activity
YAL033W	GO:0004526	F:ribonuclease P activity
YAL033W	GO:0033204	F:ribonuclease P RNA binding
YAL033W	GO:0003723	F:RNA binding
YAL033W	GO:0034965	P:intronic box C/D RNA processing
YAL033W	GO:0000460	P:maturation of 5.8S rRNA
YAL033W	GO:0000294	P:nuclear-transcribed mRNA catabolic process, RNase MRP-dependent
YAL033W	GO:0006364	P:rRNA processing
YAL033W	GO:0001682	P:tRNA 5'-leader removal
YAL033W	GO:0008033	P:tRNA processing
YAL034C	GO:1990483	C:Clr6 histone deacetylase complex I''
YAL034C	GO:0005634	C:nucleus
YAL034C	GO:0070210	C:Rpd3L-Expanded complex
YAL034C	GO:0003682	F:chromatin binding
YAL034C	GO:0003713	F:transcription coactivator activity
YAL034C	GO:0006338	P:chromatin remodeling
YAL034C	GO:0006357	P:regulation of transcription by RNA polymerase II
YAL034W-A	GO:0005737	C:cytoplasm
YAL034W-A	GO:0000776	C:kinetochore
YAL034W-A	GO:0000444	C:MIS12/MIND type complex
YAL034W-A	GO:0005634	C:nucleus
YAL034W-A	GO:0000922	C:spindle pole
YAL034W-A	GO:0008608	P:attachment of spindle microtubules to kinetochore
YAL034W-A	GO:0051301	P:cell division
YAL034W-A	GO:0007059	P:chromosome segregation
YAL034W-A	GO:0051382	P:kinetochore assembly
YAL034W-A	GO:0000070	P:mitotic sister chromatid segregation
YAL034W-A	GO:0034501	P:protein localization to kinetochore
YAL035W	GO:0005737	C:cytoplasm
YAL035W	GO:0010494	C:cytoplasmic stress granule
YAL035W	GO:0005829	C:cytosol
