SYSTEMATIC.name	SYMBOL	DOMAIN.id	DOMAIN.name	DOMAIN.start	DOMAIN.end
YLR027C	AAT2	2143866	Aminotransferase, class I/classII	31	405
YLR027C	AAT2	2143867	Aspartate/other aminotransferase	180	199
YLR027C	AAT2	2143868	Aspartate/other aminotransferase	211	223
YLR027C	AAT2	2143869	Aspartate/other aminotransferase	286	311
YLR027C	AAT2	2143870	Aspartate/other aminotransferase	354	372
YLR027C	AAT2	2143871	Aminotransferases, class-I, pyridoxal-phosphate-binding site	252	265
YLR027C	AAT2	2143872	Pyridoxal phosphate-dependent transferase	3	410
YLR027C	AAT2	2170007	AAT_like	33	407
YLR027C	AAT2	2170008	Aspartate/other aminotransferase	3	410
YLR027C	AAT2	2170009	Aspartate aminotransferase	65	313
YLR027C	AAT2	2170010	Aspartate aminotransferase	300	405
YBR236C	ABD1	2132400	S-adenosyl-L-methionine-dependent methyltransferase superfamily	139	424
YBR236C	ABD1	2146904	mRNA (guanine-N(7))-methyltransferase domain	110	424
YBR236C	ABD1	2146905	mRNA cap guanine-N7 methyltransferase, eukaryotes	1	426
YBR236C	ABD1	2146906	mRNA (guanine-N(7))-methyltransferase domain	101	430
YBR236C	ABD1	2146907	S-adenosyl-L-methionine-dependent methyltransferase superfamily	149	423
YBR236C	ABD1	2163777	mRNA cap guanine-N7 methyltransferase	139	424
YBR236C	ABD1	2163778	mRNA cap guanine-N7 methyltransferase	109	424
YBR236C	ABD1	2163779	AdoMet_MTases	168	280
YKL112W	ABF1	2130305	BAF1 / ABF1 chromatin reorganising factor	7	731
YMR072W	ABF2	2130976	High mobility group box domain superfamily	37	114
YMR072W	ABF2	2136097	High mobility group box domain superfamily	115	182
YMR072W	ABF2	2157785	High mobility group box domain	43	110
YMR072W	ABF2	2157786	High mobility group box domain	116	181
YMR072W	ABF2	2157787	High mobility group box domain	43	111
YMR072W	ABF2	2157788	High mobility group box domain	116	183
YMR072W	ABF2	2157789	High mobility group box domain	42	112
YMR072W	ABF2	2157790	High mobility group box domain	115	183
YMR072W	ABF2	2157791	High mobility group box domain superfamily	42	115
YMR072W	ABF2	2157792	High mobility group box domain superfamily	115	181
YMR072W	ABF2	2171184	HIGH MOBILITY GROUP PROTEIN 2	30	109
YMR072W	ABF2	2171185	HMG-box_ABF2_IXR1-like_rpt2	115	178
YMR072W	ABF2	2171186	HMG-box_ABF2-like_rpt1	43	110
YCR088W	ABP1	2127968	ADF-H/Gelsolin-like domain superfamily	1	141
YCR088W	ABP1	2127969	SH3 Domains	535	592
YCR088W	ABP1	2142293	SH3 domain	539	585
YCR088W	ABP1	2142294	SH3 domain	535	545
YCR088W	ABP1	2142295	SH3 domain	549	564
YCR088W	ABP1	2142296	SH3 domain	566	575
YCR088W	ABP1	2142297	SH3 domain	579	591
YCR088W	ABP1	2142298	Neutrophil cytosol factor 2 signature	395	412
YCR088W	ABP1	2142299	Neutrophil cytosol factor 2 signature	537	557
YCR088W	ABP1	2142300	Neutrophil cytosol factor 2 signature	557	573
YCR088W	ABP1	2142301	SH3 domain	532	592
YCR088W	ABP1	2142302	Actin-depolymerising factor homology domain	7	136
YCR088W	ABP1	2142303	Actin-depolymerising factor homology domain	10	136
YCR088W	ABP1	2142304	SH3 domain	535	592
YCR088W	ABP1	2142305	SH3-like domain superfamily	514	589
YCR088W	ABP1	2142306	Actin depolymerizing proteins	6	141
YCR088W	ABP1	2164210	Fungal actin-binding protein 1, second SH3 domain	536	590
YCR088W	ABP1	2164211	ADF_drebrin_like	6	141
YCR088W	ABP1	2164212	CORTACTIN AND DREBRIN	7	590
YCR088W	ABP1	2164213	Actin-binding protein	1	141
YCR088W	ABP1	2164214	Actin-binding protein	534	592
YCR088W	ABP1	2164215	Actin-depolymerising factor homology domain	21	133
YOR239W	ABP140	2137319	S-adenosyl-L-methionine-dependent methyltransferase superfamily	364	623
YOR239W	ABP140	2160877	Methyltransferase type 12	439	543
YOR239W	ABP140	2160878	S-adenosyl-L-methionine-dependent methyltransferase superfamily	392	624
YOR239W	ABP140	2173392	AdoMet_MTases	436	545
YOR239W	ABP140	2173393	Methyltransferase-like protein	364	622
YOR239W	ABP140	2173394	tRNA N(3)-methylcytidine methyltransferase METTL2/6/8-like	322	627
YNR033W	ABZ1	2131338	Class I glutamine amidotransferase-like	15	226
YNR033W	ABZ1	2136747	ADC synthase	259	787
YNR033W	ABZ1	2136748	Anthranilate synthase component I, N-terminal	298	450
YNR033W	ABZ1	2148943	Glutamine amidotransferase	19	224
YNR033W	ABZ1	2148944	Chorismate-utilising enzyme, C-terminal	500	778
YNR033W	ABZ1	2148945	Glutamine amidotransferase superfamily signature	73	82
YNR033W	ABZ1	2148946	Glutamine amidotransferase superfamily signature	107	118
YNR033W	ABZ1	2148947	Glutamine amidotransferase superfamily signature	203	216
YNR033W	ABZ1	2148948	Anthranilate synthase component II signature	17	31
YNR033W	ABZ1	2148949	Anthranilate synthase component II signature	156	168
YNR033W	ABZ1	2148950	Anthranilate synthase component II signature	203	216
YNR033W	ABZ1	2148951	Glutamine amidotransferase type 1 domain profile.	16	233
YNR033W	ABZ1	2148952	Class I glutamine amidotransferase-like	16	226
YNR033W	ABZ1	2148953	ADC synthase	277	786
YNR033W	ABZ1	2148954	Anthranilate synthase/para-aminobenzoate synthase like domain	16	225
YNR033W	ABZ1	2148955	Para-aminobenzoate synthase	10	787
YNR033W	ABZ1	2175614	Aminodeoxychorismate synthase	15	229
YNR033W	ABZ1	2175615	Anthranilate synthase component I-like	67	785
YNR033W	ABZ1	2175616	Anthranilate synthase/para-aminobenzoate synthase like domain	17	224
YMR289W	ABZ2	2158282	Branched-chain-amino-acid aminotransferase-like, C-terminal	222	374
YMR289W	ABZ2	2158283	Aminotransferase class IV	112	367
YMR289W	ABZ2	2158284	Aminotransferase-like, PLP-dependent enzymes	117	366
YMR289W	ABZ2	2171716	AMINO-ACID AMINOTRANSFERASE	64	365
YER045C	ACA1	2133717	-	383	447
YER045C	ACA1	2152123	Basic-leucine zipper domain	383	443
YER045C	ACA1	2152124	Basic-leucine zipper domain	389	404
YER045C	ACA1	2152125	Basic-leucine zipper domain	386	447
YER045C	ACA1	2152126	Basic-leucine zipper domain	382	446
YER045C	ACA1	2152127	Basic-leucine zipper domain superfamily	386	442
YER045C	ACA1	2166023	BZIP transcription factor AtfA	384	446
YER045C	ACA1	2166024	bZIP_ATF2	386	442
YER045C	ACA1	2166025	CYCLIC-AMP RESPONSE ELEMENT BINDING PROTEIN	5	467
YGR037C	ACB1	2134289	FERM/acyl-CoA-binding protein superfamily	1	87
YGR037C	ACB1	2134290	Acyl-CoA-binding protein, ACBP	4	78
YGR037C	ACB1	2145708	Acyl-CoA-binding protein, ACBP	3	18
YGR037C	ACB1	2145709	Acyl-CoA-binding protein, ACBP	20	38
YGR037C	ACB1	2145710	Acyl-CoA-binding protein, ACBP	43	58
YGR037C	ACB1	2145711	Acyl-CoA-binding protein, ACBP	64	81
YGR037C	ACB1	2145712	Acyl-CoA-binding protein, ACBP, conserved site	20	38
YGR037C	ACB1	2145713	Acyl-CoA-binding protein, ACBP	2	87
YGR037C	ACB1	2145714	Acyl-CoA binding protein superfamily	3	85
YGR037C	ACB1	2166883	Acyl-CoA-binding protein, ACBP	2	86
YGR037C	ACB1	2166884	ACYL-COA-BINDING PROTEIN, ACBP	4	85
YGR037C	ACB1	2166885	Acyl-CoA-binding domain-containing protein 5	1	87
YNR016C	ACC1	2131366	-	1815	2209
YNR016C	ACC1	2131367	-	186	230
YNR016C	ACC1	2136481	-	294	549
YNR016C	ACC1	2136482	-	21	185
YNR016C	ACC1	2136483	Biotin dependent carboxylase carboxyltransferase	1630	1698
YNR016C	ACC1	2136484	-	1486	1811
YNR016C	ACC1	2157542	-	698	769
YNR016C	ACC1	2157543	ATP-grasp fold, subdomain 1	231	293
YNR016C	ACC1	2157544	Biotin carboxylase-like, N-terminal domain	59	180
YNR016C	ACC1	2157545	Biotin/lipoyl attachment	702	767
YNR016C	ACC1	2157546	Acetyl-CoA carboxylase	1574	2130
YNR016C	ACC1	2157547	Biotin carboxylase, C-terminal	457	563
YNR016C	ACC1	2157548	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	233	413
YNR016C	ACC1	2157549	Acetyl-CoA carboxylase, central domain	768	1479
YNR016C	ACC1	2157550	Biotin-binding site	725	742
YNR016C	ACC1	2157551	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	247	261
YNR016C	ACC1	2157552	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	377	384
YNR016C	ACC1	2157553	Biotin/lipoyl attachment	694	768
YNR016C	ACC1	2157554	ATP-grasp fold	216	408
YNR016C	ACC1	2157555	Biotin carboxylation domain	58	567
YNR016C	ACC1	2157556	Acetyl-coenzyme A carboxyltransferase, N-terminal	1486	1822
YNR016C	ACC1	2157557	Acetyl-coenzyme A carboxyltransferase, C-terminal	1826	2141
YNR016C	ACC1	2157558	Biotin carboxylase, C-terminal	456	563
YNR016C	ACC1	2157559	Single hybrid motif	693	766
YNR016C	ACC1	2157560	Rudiment single hybrid motif	450	567
YNR016C	ACC1	2157561	ClpP/crotonase-like domain superfamily	1489	1814
YNR016C	ACC1	2157562	ClpP/crotonase-like domain superfamily	1815	2201
YNR016C	ACC1	2157563	Pre-ATP-grasp domain superfamily	16	183
YNR016C	ACC1	2157564	Glutathione synthetase ATP-binding domain-like	184	444
YNR016C	ACC1	2175557	acetyl-CoA carboxylase isoform X2	1815	2209
YNR016C	ACC1	2175558	acetyl-CoA carboxylase isoform X2	20	185
YNR016C	ACC1	2175559	acetyl-CoA carboxylase 1	186	230
YNR016C	ACC1	2175560	ACETYL-COA CARBOXYLASE, ISOFORM A	31	2233
YNR016C	ACC1	2175561	Acetyl-CoA carboxylase 1	698	769
YNR016C	ACC1	2175562	Acetyl-CoA carboxylase 1	1630	1698
YNR016C	ACC1	2175563	biotinyl_domain	702	767
YNR016C	ACC1	2175564	Acetyl-CoA carboxylase 1	294	549
YNR016C	ACC1	2175565	acetyl-CoA carboxylase isoform X1	207	292
YLR131C	ACE2	2135624	Classic Zinc Finger	585	630
YLR131C	ACE2	2135625	Classic Zinc Finger	631	661
YLR131C	ACE2	2143211	Zinc finger C2H2-type	603	627
YLR131C	ACE2	2143212	Zinc finger C2H2-type	633	657
YLR131C	ACE2	2143213	Zinc finger C2H2-type	605	627
YLR131C	ACE2	2143214	Zinc finger C2H2-type	635	657
YLR131C	ACE2	2143215	Zinc finger C2H2-type	603	632
YLR131C	ACE2	2143216	Zinc finger C2H2-type	633	662
YLR131C	ACE2	2143217	Zinc finger C2H2-type	603	627
YLR131C	ACE2	2143218	Zinc finger C2H2-type	633	657
YLR131C	ACE2	2143219	Zinc finger C2H2 superfamily	598	628
YLR131C	ACE2	2143220	Zinc finger C2H2 superfamily	619	660
YLR131C	ACE2	2170022	ZINC FINGER PROTEIN	601	686
YLR131C	ACE2	2170023	UDM1_RNF168_RNF169-like	191	240
YLR131C	ACE2	2170024	Transcription factor	630	660
YLR131C	ACE2	2170025	Transcriptional factor SWI5	585	629
YLR144C	ACF2	2130635	Glycosyl hydrolase family 81, N-terminal	96	410
YLR144C	ACF2	2130636	Glycosyl hydrolase family 81, C-terminal domain	420	772
YLR144C	ACF2	2135699	-	103	313
YLR144C	ACF2	2135700	-	421	487
YLR144C	ACF2	2135701	Immunoglobulin FC, subunit C	730	778
YLR144C	ACF2	2170043	Endo-1,3-beta-glucanase Engl1	421	487
YLR144C	ACF2	2170044	Endo-1,3-beta-glucanase Engl1	104	317
YLR144C	ACF2	2170045	Endo-1,3(4)-beta-glucanase	37	775
YBL015W	ACH1	2132348	Acetyl-CoA hydrolase/transferase, C-terminal domain superfamily	352	498
YBL015W	ACH1	2132349	-	240	331
YBL015W	ACH1	2132350	-	11	197
YBL015W	ACH1	2145804	Acetyl-CoA hydrolase/transferase, N-terminal	12	230
YBL015W	ACH1	2145805	Acetyl-CoA hydrolase/transferase C-terminal domain	331	481
YBL015W	ACH1	2145806	NagB/RpiA transferase-like	8	237
YBL015W	ACH1	2145807	NagB/RpiA transferase-like	239	518
YBL015W	ACH1	2163133	Acetyl-CoA hydrolase Ach1	350	499
YBL015W	ACH1	2163134	Acetyl-coA hydrolase Ach1	11	197
YBL015W	ACH1	2163135	Acetyl-CoA hydrolase/transferase	5	522
YBL015W	ACH1	2163136	Acetyl-CoA hydrolase Ach1	240	330
YDL203C	ACK1	2132817	Sel1-like repeat	450	487
YDL203C	ACK1	2132818	Sel1-like repeat	496	528
YDL203C	ACK1	2132819	Tetratricopeptide-like helical domain superfamily	259	384
YDL203C	ACK1	2132820	Tetratricopeptide-like helical domain superfamily	385	460
YDL203C	ACK1	2132821	Tetratricopeptide-like helical domain superfamily	463	623
YDL203C	ACK1	2160492	Sel1-like repeat	319	361
YDL203C	ACK1	2160493	Sel1-like repeat	362	399
YDL203C	ACK1	2160494	Sel1-like repeat	408	444
YDL203C	ACK1	2160495	Sel1-like repeat	536	569
YDL203C	ACK1	2160496	Sel1-like repeat	580	610
YDL203C	ACK1	2160497	Sel1-like repeat	318	361
YDL203C	ACK1	2160498	Sel1-like repeat	362	406
YDL203C	ACK1	2160499	Sel1-like repeat	408	444
YDL203C	ACK1	2160500	Sel1-like repeat	446	493
YDL203C	ACK1	2160501	Sel1-like repeat	495	531
YDL203C	ACK1	2160502	Sel1-like repeat	535	572
YDL203C	ACK1	2160503	Sel1-like repeat	576	611
YDL203C	ACK1	2160504	HCP-like	305	374
YDL203C	ACK1	2160505	HCP-like	389	613
YDL203C	ACK1	2164321	PROTEIN SKT5-RELATED	8	618
YDR161W	ACL4	2128519	Tetratricopeptide-like helical domain superfamily	16	274
YDR161W	ACL4	2133350	Tetratricopeptide-like helical domain superfamily	1	76
YDR161W	ACL4	2133351	Tetratricopeptide-like helical domain superfamily	135	327
YDR161W	ACL4	2164936	MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM70	5	232
YDR161W	ACL4	2164937	YDR161W-like protein	135	327
YPL267W	ACM1	2137693	-	59	111
YLR304C	ACO1	2135668	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	343	514
YLR304C	ACO1	2135669	Aconitase, domain 2	225	342
YLR304C	ACO1	2135670	Aconitase/3-isopropylmalate dehydratase, swivel	558	777
YLR304C	ACO1	2135671	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	25	224
YLR304C	ACO1	2142879	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	63	500
YLR304C	ACO1	2142880	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	579	708
YLR304C	ACO1	2142881	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	136	149
YLR304C	ACO1	2142882	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	159	167
YLR304C	ACO1	2142883	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	179	192
YLR304C	ACO1	2142884	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	193	208
YLR304C	ACO1	2142885	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	255	268
YLR304C	ACO1	2142886	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	269	282
YLR304C	ACO1	2142887	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	344	358
YLR304C	ACO1	2142888	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	378	389
YLR304C	ACO1	2142889	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	437	450
YLR304C	ACO1	2142890	Aconitase family, 4Fe-4S cluster binding site	374	390
YLR304C	ACO1	2142891	Aconitase family, 4Fe-4S cluster binding site	437	450
YLR304C	ACO1	2142892	LeuD/IlvD-like	554	773
YLR304C	ACO1	2142893	Aconitase, iron-sulfur domain	32	549
YLR304C	ACO1	2142894	Aconitase, mitochondrial-like	41	772
YLR304C	ACO1	2170442	AcnA_Mitochon_Swivel	584	732
YLR304C	ACO1	2170443	Aconitate hydratase, mitochondrial	558	777
YLR304C	ACO1	2170444	Aconitate hydratase, mitochondrial	225	342
YLR304C	ACO1	2170445	AcnA_Mitochondrial	91	502
YLR304C	ACO1	2170446	Aconitate hydratase, mitochondrial	25	224
YLR304C	ACO1	2170447	Aconitate hydratase, mitochondrial	343	514
YLR304C	ACO1	2170448	ACONITATE HYDRATASE B	13	775
YJL200C	ACO2	2129909	Aconitase, domain 2	226	345
YJL200C	ACO2	2129910	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	23	225
YJL200C	ACO2	2129911	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	346	518
YJL200C	ACO2	2134978	Aconitase/3-isopropylmalate dehydratase, swivel	565	787
YJL200C	ACO2	2151544	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	58	505
YJL200C	ACO2	2151545	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	137	150
YJL200C	ACO2	2151546	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	160	168
YJL200C	ACO2	2151547	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	180	193
YJL200C	ACO2	2151548	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	194	209
YJL200C	ACO2	2151549	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	256	269
YJL200C	ACO2	2151550	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	270	283
YJL200C	ACO2	2151551	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	347	361
YJL200C	ACO2	2151552	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	381	392
YJL200C	ACO2	2151553	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	440	453
YJL200C	ACO2	2151554	Aconitase family, 4Fe-4S cluster binding site	377	393
YJL200C	ACO2	2151555	Aconitase family, 4Fe-4S cluster binding site	440	453
YJL200C	ACO2	2151556	LeuD/IlvD-like	561	782
YJL200C	ACO2	2151557	Aconitase, iron-sulfur domain	34	550
YJL200C	ACO2	2151558	Aconitase, mitochondrial-like	35	782
YJL200C	ACO2	2175523	Aconitate hydratase, mitochondrial	20	225
YJL200C	ACO2	2175524	Aconitate hydratase, mitochondrial	565	787
YJL200C	ACO2	2175525	Aconitate hydratase, mitochondrial	346	519
YJL200C	ACO2	2175526	Aconitate hydratase, mitochondrial	226	345
YJL200C	ACO2	2175527	ACONITATE HYDRATASE B	21	784
YJL200C	ACO2	2175528	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	586	714
YKL192C	ACP1	2130446	ACP-like superfamily	28	124
