SYSTEMATIC.name	Gene.proteins.secondaryIdentifier	PROTEINS.molecular_weight	PROTEINS.pI	PROTEINS.gravy_score	PROTEINS.aromaticity_score	PROTEINS.cai	PROTEINS.instability_index	PROTEINS.aliphatic_index
YAL017W	YAL017W	152294.2	5.45	-0.47	0.07	0.13	43.04	82.2
YAL018C	YAL018C	37053.6	8.96	0.44	0.17	0.15	38.16	99.74
YAL019W	YAL019W	128470.9	5.04	-0.77	0.07	0.16	45.48	73.33
YAL019W-A	YAL019W-A	21617.8	10.02	0.14	0.1	0.11	62.24	96.77
YAL020C	YAL020C	36463.6	6.72	-0.32	0.08	0.06	31.54	71.02
YAL021C	YAL021C	94662.8	6.84	-0.56	0.09	0.14	44.07	72.9
YAL022C	YAL022C	58298.6	4.69	0.26	0.12	0.12	36.15	95.8
YAL023C	YAL023C	86871.5	7.78	-0.05	0.15	0.24	38.19	79.18
YAL024C	YAL024C	163134.9	6.42	-0.6	0.07	0.12	52.9	79.9
YAL025C	YAL025C	35680.9	4.9	-1.18	0.07	0.22	58.93	53.32
YAL026C	YAL026C	153727.8	5.14	-0.21	0.11	0.19	36.1	85.51
YAL026C-A	YAL026C-A	17452.4	10.71	0.11	0.1	0.09	43.77	109.2
YAL027W	YAL027W	29778.0	9.91	-0.26	0.06	0.11	49.95	102.02
YAL028W	YAL028W	58757.8	9.25	-0.69	0.06	0.11	56.79	67.77
YAL029C	YAL029C	169346.1	7.71	-0.33	0.1	0.15	41.67	89.22
YAL030W	YAL030W	13202.5	8.49	-0.22	0.05	0.13	52.64	91.21
YAL031C	YAL031C	86677.1	10.27	-0.46	0.07	0.12	55.82	84.99
YAL031W-A	YAL031W-A	11416.6	8.2	0.46	0.11	0.12	53.62	108.4
YAL032C	YAL032C	42490.4	9.68	-0.83	0.06	0.14	39.95	67.79
YAL033W	YAL033W	19574.8	7.97	-0.24	0.05	0.09	48.9	98.81
YAL034C	YAL034C	47096.0	10.37	-0.84	0.09	0.12	56.9	65.13
YAL034C-B	YAL034C-B	13270.1	10.02	0.36	0.09	0.1	38.0	109.18
YAL034W-A	YAL034W-A	33235.5	4.86	-0.53	0.05	0.11	34.43	98.46
YAL035W	YAL035W	112251.6	5.45	-0.74	0.04	0.35	48.79	77.01
YAL036C	YAL036C	40704.5	8.57	-0.13	0.06	0.24	36.06	101.1
YAL037C-A	YAL037C-A	3449.3	10.51	0.54	0.07	0.1	50.04	119.02
YAL037C-B	YAL037C-B	35751.6	3.67	-0.22	0.12	0.23	29.62	79.38
YAL037W	YAL037W	30459.4	8.17	-0.12	0.1	0.09	48.02	92.57
YAL038W	YAL038W	54546.3	7.78	-0.15	0.06	0.89	23.07	89.15
YAL039C	YAL039C	30071.2	5.18	-0.65	0.08	0.11	61.33	54.55
YAL040C	YAL040C	65007.7	9.45	-0.26	0.1	0.2	52.62	79.38
YAL041W	YAL041W	96946.8	8.72	-0.48	0.08	0.13	50.46	79.55
YAL042C-A	YAL042C-A	13710.0	9.43	0.05	0.06	0.1	76.45	79.86
YAL042W	YAL042W	46230.7	6.82	-0.4	0.09	0.12	33.3	72.98
YAL043C	YAL043C	88464.8	6.15	-0.36	0.07	0.13	50.46	89.58
YAL044C	YAL044C	18782.1	4.38	-0.44	0.07	0.16	45.4	78.44
YAL044W-A	YAL044W-A	12543.7	10.13	-0.62	0.09	0.14	46.78	62.3
YAL045C	YAL045C	11646.9	7.08	0.36	0.09	0.11	36.04	96.01
YAL046C	YAL046C	13364.9	10.67	-0.43	0.05	0.11	59.2	80.54
YAL047C	YAL047C	72073.2	4.71	-0.79	0.05	0.14	54.73	88.07
YAL047W-A	YAL047W-A	12153.4	5.77	0.55	0.11	0.13	40.93	105.39
YAL048C	YAL048C	75138.9	5.82	-0.16	0.1	0.14	38.5	92.46
YAL049C	YAL049C	27083.1	6.23	-0.08	0.11	0.17	37.01	83.27
YAL051W	YAL051W	118886.4	6.98	-0.28	0.09	0.14	44.19	84.98
YAL053W	YAL053W	87472.3	8.05	0.22	0.13	0.17	28.36	94.44
YAL054C	YAL054C	79132.4	6.6	-0.27	0.1	0.26	34.44	81.9
YAL055W	YAL055W	19880.1	8.47	-0.3	0.07	0.09	45.92	80.35
YAL056C-A	YAL056C-A	12978.6	10.63	0.28	0.08	0.11	44.4	99.54
YAL056W	YAL056W	98653.9	7.2	-0.47	0.09	0.11	43.85	74.38
YAL058W	YAL058W	56948.3	4.94	-0.34	0.09	0.11	31.46	84.02
YAL059C-A	YAL059C-A	15830.1	9.93	0.7	0.14	0.19	44.28	110.6
YAL059W	YAL059W	23902.6	10.44	-0.81	0.04	0.17	34.68	77.35
YAL060W	YAL060W	41574.4	6.55	-0.06	0.07	0.23	35.99	87.38
YAL061W	YAL061W	46085.1	6.03	-0.24	0.07	0.14	32.75	83.06
YAL062W	YAL062W	49619.6	5.12	-0.19	0.09	0.16	24.46	77.86
YAL063C	YAL063C	138012.6	3.91	-0.12	0.06	0.24	32.14	66.39
YAL063C-A	YAL063C-A	11317.6	10.15	0.08	0.1	0.17	47.18	110.89
YAL064C-A	YAL064C-A	13878.6	4.11	0.02	0.15	0.21	34.68	68.73
YAL064W	YAL064W	11010.0	10.29	-0.24	0.13	0.11	43.42	73.07
YAL064W-B	YAL064W-B	13256.3	3.92	0.97	0.03	0.07	28.09	123.47
YAL065C	YAL065C	12916.3	4.86	0.13	0.03	0.11	21.77	86.95
YAL066W	YAL066W	12123.1	10.81	0.64	0.1	0.11	51.71	136.21
YAL067C	YAL067C	68845.6	8.15	-0.06	0.16	0.18	35.51	86.24
YAL067W-A	YAL067W-A	8768.8	10.52	0.23	0.12	0.07	62.86	102.53
YAL068C	YAL068C	12846.7	4.96	0.25	0.09	0.63	19.78	90.09
YAL068W-A	YAL068W-A	9659.3	9.07	-0.11	0.14	0.15	72.13	83.5
YAL069W	YAL069W	11334.2	7.06	0.54	0.07	0.08	37.28	120.22
YAR002C-A	YAR002C-A	24723.7	7.5	-0.13	0.1	0.33	31.96	88.95
YAR002W	YAR002W	59053.1	9.92	-0.83	0.07	0.14	58.71	55.78
YAR003W	YAR003W	48624.0	4.42	-0.29	0.09	0.13	43.52	87.87
YAR007C	YAR007C	70341.5	6.11	-0.56	0.1	0.21	28.43	73.26
YAR008W	YAR008W	31313.3	7.79	-0.28	0.09	0.12	36.57	95.02
YAR014C	YAR014C	78899.8	4.1	-1.04	0.06	0.12	56.55	54.89
YAR015W	YAR015W	34597.6	5.74	-0.4	0.09	0.23	34.74	86.41
YAR018C	YAR018C	51209.0	8.62	-0.67	0.11	0.14	49.64	74.44
YAR019C	YAR019C	110245.7	8.0	-0.11	0.1	0.14	45.26	94.5
YAR019W-A	YAR019W-A	12095.1	8.86	-0.06	0.09	0.09	33.53	83.81
YAR020C	YAR020C	5672.5	4.66	0.56	0.07	0.48	16.85	107.69
YAR023C	YAR023C	20704.2	7.96	0.06	0.15	0.1	24.47	84.73
YAR027W	YAR027W	27110.7	6.09	0.09	0.12	0.13	32.13	99.65
YAR028W	YAR028W	26449.6	4.91	0.01	0.11	0.12	41.6	85.36
YAR029W	YAR029W	8903.9	4.43	-0.78	0.18	0.12	58.09	44.48
YAR030C	YAR030C	13300.1	10.87	0.25	0.12	0.1	68.84	104.63
YAR031W	YAR031W	35075.4	8.17	-0.33	0.16	0.11	43.53	69.4
YAR033W	YAR033W	27091.3	7.56	-0.21	0.12	0.11	45.52	89.9
YAR035C-A	YAR035C-A	3327.0	11.86	-1.1	0.15	0.04	129.41	53.06
YAR035W	YAR035W	77761.4	6.92	-0.39	0.1	0.09	36.69	75.45
YAR042W	YAR042W	135055.8	5.26	-0.76	0.08	0.18	41.32	70.87
YAR043C	YAR043C	""	""	""	""	""	""	""
YAR044W	YAR044W	""	""	""	""	""	""	""
YAR047C	YAR047C	12904.7	9.76	0.59	0.23	0.1	43.16	97.65
YAR050W	YAR050W	160585.1	3.83	-0.16	0.06	0.26	30.11	62.89
YAR052C	YAR052C	""	""	""	""	""	""	""
YAR053W	YAR053W	11146.4	8.48	0.8	0.13	0.08	32.16	115.52
YAR060C	YAR060C	12879.4	11.75	-0.6	0.07	0.12	69.83	75.53
YAR064W	YAR064W	11142.0	8.29	-0.3	0.11	0.09	33.42	55.88
YAR066W	YAR066W	20584.6	4.23	0.08	0.08	0.3	20.72	81.4
YAR068W	YAR068W	18018.8	12.31	0.34	0.06	0.04	59.92	124.77
YAR069C	YAR069C	10913.0	5.42	0.96	0.11	0.1	14.5	130.62
YAR070C	YAR070C	11611.0	9.09	0.32	0.14	0.11	24.79	96.51
YAR071W	YAR071W	52741.1	4.78	-0.39	0.13	0.33	28.3	67.7
YAR073W	YAR073W	44389.7	8.32	-0.1	0.08	0.29	31.54	87.05
YAR074C	YAR074C	""	""	""	""	""	""	""
YAR075W	YAR075W	17010.7	9.91	-0.27	0.08	0.33	31.34	77.25
YBL001C	YBL001C	11516.4	6.67	-0.2	0.05	0.24	28.57	90.7
YBL002W	YBL002W	14251.6	10.74	-0.62	0.05	0.56	36.84	65.95
YBL003C	YBL003C	14002.5	11.34	-0.32	0.03	0.54	53.03	97.6
YBL004W	YBL004W	287550.5	7.03	-0.17	0.1	0.15	42.52	96.85
YBL005W	YBL005W	112562.2	6.55	-0.31	0.11	0.15	45.66	83.43
YBL006C	YBL006C	19797.7	9.21	-0.44	0.06	0.06	57.4	75.11
YBL006W-A	YBL006W-A	5646.6	9.75	-0.91	0.08	0.12	47.1	32.11
YBL007C	YBL007C	135835.7	5.62	-0.65	0.07	0.19	49.72	58.72
YBL008W	YBL008W	93855.8	7.16	-0.38	0.07	0.13	42.38	86.9
YBL008W-A	YBL008W-A	9495.7	10.86	-0.02	0.13	0.1	69.21	90.34
YBL009W	YBL009W	76397.6	9.89	-0.55	0.08	0.14	49.19	77.94
YBL010C	YBL010C	32625.7	4.75	-0.86	0.07	0.12	56.57	73.85
YBL011W	YBL011W	85693.2	7.3	-0.3	0.09	0.17	54.23	82.72
YBL012C	YBL012C	15310.3	9.88	0.06	0.11	0.08	43.61	93.22
YBL013W	YBL013W	44635.5	10.18	-0.24	0.06	0.08	36.05	88.01
YBL014C	YBL014C	102012.2	4.81	-0.49	0.08	0.12	50.44	84.29
YBL015W	YBL015W	58705.5	6.77	-0.36	0.08	0.22	33.86	81.34
YBL016W	YBL016W	40770.5	7.13	-0.29	0.1	0.11	44.34	86.59
YBL017C	YBL017C	177695.5	4.5	-0.48	0.11	0.16	35.1	66.82
YBL018C	YBL018C	15503.5	4.47	-0.47	0.11	0.17	34.8	76.9
YBL019W	YBL019W	59463.0	9.57	-0.49	0.09	0.12	35.33	78.55
YBL020W	YBL020W	66225.3	9.54	0.41	0.15	0.14	34.87	108.42
YBL021C	YBL021C	16146.1	4.5	-0.7	0.05	0.09	55.67	71.97
YBL022C	YBL022C	127085.0	5.26	-0.58	0.06	0.19	40.75	77.85
YBL023C	YBL023C	98740.6	4.77	-0.64	0.06	0.17	52.94	78.13
YBL024W	YBL024W	77878.6	7.39	-0.58	0.08	0.27	40.2	73.2
YBL025W	YBL025W	16496.8	4.85	-0.31	0.08	0.1	44.07	92.17
YBL026W	YBL026W	11164.0	8.47	-0.29	0.09	0.17	42.71	89.64
YBL027W	YBL027W	21736.8	11.91	-0.95	0.04	0.71	41.58	73.71
YBL028C	YBL028C	12416.6	10.95	-1.37	0.05	0.26	37.28	52.37
YBL029C-A	YBL029C-A	11164.0	8.5	-0.52	0.14	0.12	56.13	62.89
YBL029W	YBL029W	42601.5	6.38	-0.84	0.08	0.12	58.82	65.91
YBL030C	YBL030C	34446.7	10.33	0.09	0.11	0.54	25.94	84.76
YBL031W	YBL031W	38042.3	11.11	-1.0	0.05	0.13	52.23	57.31
YBL032W	YBL032W	41676.4	5.93	-0.4	0.05	0.19	45.61	88.23
YBL033C	YBL033C	38325.5	6.29	-0.6	0.06	0.11	31.31	78.66
YBL034C	YBL034C	174160.9	6.23	-0.44	0.09	0.15	43.72	83.11
YBL035C	YBL035C	78771.9	7.04	-0.44	0.08	0.14	43.53	80.04
YBL036C	YBL036C	29120.5	6.37	-0.45	0.07	0.24	26.65	85.11
YBL037W	YBL037W	115024.8	8.89	-0.09	0.08	0.14	39.66	100.78
YBL038W	YBL038W	26545.5	10.99	-0.62	0.09	0.15	30.28	71.31
YBL039C	YBL039C	64693.8	5.91	-0.24	0.07	0.31	34.76	88.54
YBL039C-A	YBL039C-A	3404.2	9.54	0.34	0.19	0.1	64.85	90.75
YBL039W-B	YBL039W-B	6878.2	10.58	-0.09	0.17	0.11	46.42	55.34
YBL040C	YBL040C	25774.8	10.17	0.41	0.17	0.18	32.56	106.65
YBL041W	YBL041W	26866.3	5.96	-0.44	0.11	0.17	29.08	73.07
YBL042C	YBL042C	72166.6	7.58	0.19	0.15	0.17	30.2	90.87
YBL043W	YBL043W	28528.4	4.02	-0.89	0.08	0.17	52.29	57.05
YBL044W	YBL044W	13863.3	10.89	-0.75	0.06	0.1	50.3	60.68
YBL045C	YBL045C	50227.3	7.35	-0.23	0.08	0.29	30.7	89.28
YBL046W	YBL046W	50596.3	4.02	-1.04	0.07	0.13	47.69	57.43
YBL047C	YBL047C	150701.5	4.34	-0.68	0.05	0.2	47.89	68.84
YBL048W	YBL048W	12451.1	9.11	1.14	0.25	0.15	30.68	118.69
YBL049W	YBL049W	16094.7	9.4	-0.56	0.11	0.16	56.89	69.57
YBL050W	YBL050W	32792.1	4.71	-0.51	0.1	0.16	29.81	73.61
YBL051C	YBL051C	73765.8	6.2	-0.8	0.06	0.19	53.69	69.4
YBL052C	YBL052C	97573.4	6.39	-0.85	0.1	0.13	56.48	67.85
YBL053W	YBL053W	13196.0	8.31	0.58	0.14	0.1	77.37	86.53
YBL054W	YBL054W	59239.9	9.93	-0.94	0.06	0.14	55.18	60.26
YBL055C	YBL055C	47386.4	6.73	-0.34	0.1	0.12	36.86	78.69
YBL056W	YBL056W	51289.4	4.23	-0.4	0.06	0.17	39.51	77.76
YBL057C	YBL057C	22429.6	5.08	-0.26	0.05	0.13	40.16	79.49
YBL058W	YBL058W	46968.7	4.63	-0.96	0.08	0.14	41.68	53.12
YBL059C-A	YBL059C-A	12949.9	8.62	-1.15	0.07	0.23	76.17	63.91
YBL059W	YBL059W	22293.4	10.81	-0.31	0.09	0.09	39.25	74.46
YBL060W	YBL060W	78759.8	6.37	-0.51	0.1	0.14	43.11	76.39
YBL061C	YBL061C	77085.6	9.76	-0.68	0.08	0.11	40.81	66.06
YBL062W	YBL062W	14408.1	4.11	0.84	0.18	0.12	45.06	95.0
YBL063W	YBL063W	125788.1	6.86	-0.63	0.05	0.14	46.84	84.68
YBL064C	YBL064C	29501.1	9.33	-0.29	0.1	0.21	37.0	79.91
YBL065W	YBL065W	13836.6	10.01	0.11	0.14	0.1	39.34	105.84
YBL066C	YBL066C	127993.3	7.65	-0.52	0.07	0.14	44.79	73.29
YBL067C	YBL067C	83845.7	6.08	-0.71	0.08	0.14	46.42	67.35
YBL068W	YBL068W	35714.4	6.35	-0.06	0.05	0.2	34.05	100.87
YBL068W-A	YBL068W-A	9173.4	7.41	-0.55	0.18	0.24	23.13	49.18
YBL069W	YBL069W	48353.0	8.57	-0.3	0.1	0.17	36.3	83.66
YBL070C	YBL070C	11551.0	8.62	0.92	0.12	0.1	28.89	119.37
YBL071C	YBL071C	11546.7	10.11	0.08	0.11	0.12	47.91	95.25
YBL071C-B	YBL071C-B	3855.7	9.73	0.15	0.16	0.1	34.95	100.87
YBL071W-A	YBL071W-A	9339.4	3.49	-0.22	0.12	0.15	62.6	60.17
YBL072C	YBL072C	22517.2	11.33	-0.83	0.08	0.75	52.24	58.63
YBL073W	YBL073W	12090.6	8.27	0.33	0.17	0.11	48.28	91.58
YBL074C	YBL074C	41666.0	4.68	-0.64	0.13	0.14	33.21	66.05
YBL075C	YBL075C	70527.4	4.79	-0.49	0.06	0.18	29.57	75.03
YBL076C	YBL076C	122966.3	5.9	-0.34	0.11	0.34	34.8	82.45
YBL077W	YBL077W	16331.1	8.9	0.2	0.13	0.11	58.75	92.87
YBL078C	YBL078C	13630.9	9.59	-0.48	0.12	0.15	38.85	70.74
YBL079W	YBL079W	169454.3	6.02	-0.19	0.1	0.15	41.82	89.27
YBL080C	YBL080C	61869.4	7.8	-0.4	0.09	0.13	41.06	89.16
YBL081W	YBL081W	40769.4	8.9	-0.96	0.09	0.17	62.44	47.02
YBL082C	YBL082C	52872.5	9.09	0.43	0.13	0.11	42.24	106.84
YBL083C	YBL083C	16170.3	10.37	0.06	0.11	0.13	51.35	99.42
YBL084C	YBL084C	85410.8	8.84	-0.43	0.09	0.12	44.9	80.01
YBL085W	YBL085W	109313.7	9.64	-0.89	0.07	0.13	58.98	56.72
YBL086C	YBL086C	52005.5	9.55	-0.85	0.08	0.12	32.41	63.07
YBL087C	YBL087C	14485.3	11.03	-0.08	0.05	0.62	31.88	83.89
YBL088C	YBL088C	321515.1	6.92	-0.16	0.11	0.12	38.62	92.72
YBL089W	YBL089W	50902.5	9.03	0.57	0.11	0.1	42.41	114.17
YBL090W	YBL090W	20413.2	11.23	-0.75	0.05	0.14	54.12	72.87
YBL091C	YBL091C	47508.9	6.17	-0.72	0.08	0.21	33.13	69.3
YBL091C-A	YBL091C-A	19681.0	9.3	-0.21	0.08	0.12	31.7	96.12
YBL092W	YBL092W	14794.7	11.79	-0.68	0.06	0.82	43.33	73.96
YBL093C	YBL093C	24855.7	6.28	-1.0	0.09	0.1	52.11	52.08
YBL094C	YBL094C	12085.4	9.91	0.33	0.09	0.12	37.07	102.47
YBL095W	YBL095W	30546.8	8.03	-0.12	0.1	0.12	37.58	92.9
YBL096C	YBL096C	11091.2	9.32	0.42	0.08	0.09	35.07	115.99
YBL097W	YBL097W	86152.0	4.33	-0.89	0.07	0.15	35.1	65.62
YBL098W	YBL098W	52435.1	8.59	-0.28	0.1	0.17	39.78	84.11
YBL099W	YBL099W	58614.7	9.5	-0.08	0.06	0.47	34.25	100.5
YBL100C	YBL100C	11251.4	7.73	0.57	0.08	0.09	43.08	106.44
YBL100W-C	YBL100W-C	4647.5	11.72	-0.45	0.15	0.11	73.76	72.66
YBL101C	YBL101C	123604.0	6.88	-0.65	0.07	0.12	48.47	69.78
YBL102W	YBL102W	24279.5	8.99	0.29	0.14	0.1	46.76	86.39
YBL103C	YBL103C	54123.2	5.68	-0.82	0.06	0.15	54.5	65.64
YBL103C-A	YBL103C-A	""	""	""	""	""	""	""
YBL104C	YBL104C	117621.4	5.98	-0.56	0.09	0.14	39.42	73.47
YBL105C	YBL105C	131473.5	7.11	-0.68	0.08	0.17	47.42	69.59
YBL106C	YBL106C	111637.5	8.88	-0.08	0.08	0.12	34.86	91.0
YBL107C	YBL107C	22966.1	7.06	-0.98	0.08	0.1	36.76	61.24
YBL107W-A	YBL107W-A	4055.0	9.44	0.87	0.12	0.09	60.09	143.24
YBL108C-A	YBL108C-A	4526.3	9.93	0.15	0.07	0.53	17.05	96.98
YBL108W	YBL108W	11666.1	8.4	0.24	0.14	0.11	51.97	82.75
YBL109W	YBL109W	12882.9	8.26	-0.15	0.13	0.18	75.86	90.1
YBL111C	YBL111C	76258.4	8.75	-0.33	0.1	0.1	39.25	78.93
YBL112C	YBL112C	11980.5	9.72	-0.14	0.06	0.09	48.13	100.9
YBL113C	YBL113C	86974.6	6.89	-0.63	0.06	0.15	32.78	56.75
YBL113W-A	YBL113W-A	18623.1	9.83	0.36	0.14	0.09	52.89	99.78
YBR001C	YBR001C	89670.1	6.43	-0.54	0.12	0.12	42.11	71.52
YBR002C	YBR002C	32695.0	7.91	-0.32	0.08	0.11	38.65	85.04
YBR003W	YBR003W	52567.2	9.26	-0.25	0.06	0.14	46.08	94.8
YBR004C	YBR004C	50779.0	9.81	0.43	0.2	0.15	37.95	99.53
YBR005W	YBR005W	23884.8	6.68	-0.57	0.09	0.07	55.46	67.37
YBR006W	YBR006W	54186.7	6.62	-0.05	0.09	0.2	29.98	84.56
YBR007C	YBR007C	82359.3	9.71	-0.91	0.07	0.12	45.44	57.39
YBR008C	YBR008C	61624.3	6.31	0.41	0.15	0.16	40.14	95.34
YBR009C	YBR009C	11386.6	11.91	-0.5	0.06	0.73	50.02	85.96
YBR010W	YBR010W	15378.3	11.99	-0.68	0.05	0.62	46.21	76.01
YBR011C	YBR011C	32291.7	5.25	-0.52	0.1	0.62	23.49	77.44
YBR012C	YBR012C	16066.1	6.74	-0.6	0.12	0.11	41.02	65.46
YBR013C	YBR013C	14481.7	7.24	0.03	0.11	0.1	41.3	94.64
YBR014C	YBR014C	22559.4	5.88	-0.44	0.07	0.15	41.57	77.21
YBR015C	YBR015C	67766.3	6.17	-0.42	0.12	0.17	29.85	75.53
YBR016W	YBR016W	14617.0	7.33	-1.47	0.12	0.11	63.29	22.43
YBR017C	YBR017C	103614.9	4.25	-0.03	0.09	0.14	42.98	97.64
YBR018C	YBR018C	42385.5	7.64	-0.54	0.11	0.22	47.8	73.31
YBR019C	YBR019C	78182.9	5.8	-0.34	0.11	0.19	27.09	79.4
YBR020W	YBR020W	57940.9	6.72	-0.09	0.09	0.19	37.68	82.93
YBR021W	YBR021W	71740.4	8.0	0.24	0.16	0.19	39.05	84.2
YBR022W	YBR022W	19939.0	7.77	-0.33	0.11	0.12	42.64	81.62
YBR023C	YBR023C	131593.5	6.69	-0.27	0.1	0.17	38.76	79.35
YBR024W	YBR024W	34891.9	8.24	-0.58	0.13	0.15	50.39	69.92
YBR025C	YBR025C	44174.5	7.5	-0.29	0.07	0.57	35.72	91.03
YBR026C	YBR026C	42074.3	9.49	-0.39	0.08	0.17	29.83	82.81
YBR027C	YBR027C	12848.6	9.15	0.55	0.14	0.1	38.37	114.78
YBR028C	YBR028C	59593.0	7.94	-0.57	0.09	0.15	40.61	77.66
YBR029C	YBR029C	51832.3	8.74	0.39	0.14	0.17	21.5	99.41
YBR030W	YBR030W	62541.0	4.27	-0.48	0.09	0.15	48.37	81.21
YBR031W	YBR031W	39126.9	11.33	-0.31	0.06	0.8	32.95	81.66
YBR032W	YBR032W	11483.3	5.62	-0.08	0.12	0.09	33.03	96.32
YBR033W	YBR033W	103416.6	8.73	-0.39	0.08	0.12	49.1	78.91
YBR034C	YBR034C	39771.3	5.15	-0.38	0.11	0.27	38.11	79.43
YBR035C	YBR035C	26908.5	7.67	-0.87	0.11	0.24	33.38	61.68
YBR036C	YBR036C	45442.5	7.33	0.38	0.1	0.14	35.56	105.28
YBR037C	YBR037C	33174.3	9.46	-0.36	0.12	0.11	29.07	76.04
YBR038W	YBR038W	109894.8	8.86	-0.26	0.12	0.17	43.16	76.99
YBR039W	YBR039W	34360.0	9.85	-0.31	0.05	0.34	34.38	85.96
YBR040W	YBR040W	33788.1	9.88	0.42	0.12	0.13	44.14	108.93
YBR041W	YBR041W	77147.6	8.52	-0.17	0.13	0.19	35.77	83.79
YBR042C	YBR042C	45529.6	9.8	-0.01	0.12	0.13	33.68	102.34
YBR043C	YBR043C	77288.4	7.84	-0.06	0.11	0.12	36.64	90.35
YBR044C	YBR044C	64267.8	9.21	-0.31	0.07	0.13	40.5	91.87
YBR045C	YBR045C	73327.2	4.84	-1.0	0.08	0.14	50.16	56.5
YBR046C	YBR046C	37023.9	9.1	-0.15	0.11	0.16	29.37	92.15
YBR047W	YBR047W	20512.8	7.79	-0.42	0.1	0.15	38.27	85.15
YBR048W	YBR048W	17775.3	11.44	-0.46	0.1	0.73	53.32	68.73
YBR049C	YBR049C	91825.5	4.76	-1.2	0.04	0.2	46.84	59.11
